stimulus;picture_number;SOA;target;target_position;set;saliency;response;resp_code;RT
congruent;16;100;N;top;semantic;control;correct;12;547,9
congruent;13;100;Z;bottom;semantic;control;correct;11;550
congruent;21;300;Z;top;semantic;control;correct;11;461,5
congruent;24;100;Z;right;semantic;control;correct;11;485,2
incongruent;26;100;Z;bottom;semantic;salient;correct;11;453,4
incongruent;30;100;N;right;semantic;salient;correct;12;453,7
congruent;07;300;Z;left;semantic;control;correct;11;461,3
incongruent;26;200;N;bottom;semantic;salient;correct;12;472,8
incongruent;44;100;N;left;semantic;salient;correct;12;518,4
incongruent;04;100;Z;right;semantic;salient;correct;11;699,1
congruent;45;300;N;left;semantic;control;incorrect;1;365,1
incongruent;27;200;Z;top;semantic;salient;correct;11;547
incongruent;49;300;N;bottom;semantic;salient;correct;12;377,3
congruent;29;100;N;left;semantic;control;correct;12;529,9
incongruent;23;100;Z;left;semantic;salient;correct;11;551,2
congruent;46;100;Z;top;semantic;control;correct;11;1004
congruent;33;200;Z;bottom;semantic;control;correct;11;508,5
congruent;08;300;N;bottom;semantic;control;correct;12;846,6
congruent;36;200;N;right;semantic;control;correct;12;552,6
incongruent;17;200;N;right;semantic;salient;correct;12;546,8
incongruent;03;300;Z;bottom;semantic;salient;correct;11;464,4
congruent;20;300;N;top;semantic;control;correct;12;525,8
incongruent;40;200;N;left;semantic;salient;correct;12;655,4
congruent;28;200;Z;top;semantic;control;correct;11;506,6
congruent;48;300;N;right;semantic;control;correct;12;433,8
incongruent;34;100;N;bottom;semantic;salient;correct;12;555
congruent;44;100;N;right;semantic;control;correct;12;570,9
incongruent;12;200;Z;right;semantic;salient;correct;11;500,7
incongruent;50;300;Z;left;semantic;salient;correct;11;518,8
congruent;43;100;Z;left;semantic;control;correct;11;552,7
congruent;05;100;Z;right;semantic;control;correct;11;484,4
congruent;03;100;N;bottom;semantic;control;correct;12;535
incongruent;42;200;Z;left;semantic;salient;correct;11;536,5
incongruent;29;200;Z;bottom;semantic;salient;correct;11;607,8
congruent;07;200;Z;left;semantic;control;correct;11;500,5
incongruent;11;300;N;left;semantic;salient;correct;12;548,5
incongruent;41;100;N;top;semantic;salient;correct;12;484,5
congruent;25;300;N;top;semantic;control;correct;12;1211,5
incongruent;43;300;N;right;semantic;salient;correct;12;403,5
incongruent;38;300;N;top;semantic;salient;correct;12;472,6
incongruent;18;100;Z;bottom;semantic;salient;correct;11;432,4
incongruent;01;100;Z;top;semantic;salient;correct;11;515,1
incongruent;45;200;N;top;semantic;salient;correct;12;414,1
congruent;03;200;N;left;semantic;control;correct;12;443,3
incongruent;14;100;Z;bottom;semantic;salient;correct;11;634,3
congruent;17;100;Z;top;semantic;control;correct;11;581,9
incongruent;07;200;N;left;semantic;salient;correct;12;485,7
incongruent;26;300;Z;top;semantic;salient;incorrect;2;736,2
congruent;14;100;Z;bottom;semantic;control;correct;11;677,8
congruent;31;100;N;right;semantic;control;correct;12;540,3
congruent;06;100;N;top;semantic;control;correct;12;492,5
congruent;45;100;N;left;semantic;control;correct;12;463
congruent;09;100;Z;left;semantic;control;correct;11;542,4
congruent;34;100;N;left;semantic;control;correct;12;486,4
incongruent;34;300;N;right;semantic;salient;correct;12;437,7
happy;46;200;N;top;emotional;control;correct;12;456,1
disgusting;36;100;Z;left;emotional;salient;correct;11;510,5
disgusting;30;300;N;bottom;emotional;salient;correct;12;596,2
disgusting;15;300;Z;top;emotional;salient;correct;11;1205
disgusting;47;300;Z;left;emotional;salient;correct;11;608,6
happy;47;200;Z;bottom;emotional;control;correct;11;476,5
happy;12;200;N;bottom;emotional;control;correct;12;421,3
disgusting;26;300;N;top;emotional;salient;correct;12;477,7
disgusting;39;300;N;left;emotional;salient;incorrect;1;454,6
happy;49;100;N;top;emotional;control;correct;12;459,1
disgusting;50;100;N;right;emotional;salient;correct;12;672,8
happy;45;200;Z;top;emotional;control;correct;11;434,4
disgusting;31;200;N;right;emotional;salient;correct;12;472,8
disgusting;45;200;N;top;emotional;salient;correct;12;458,9
disgusting;05;200;Z;right;emotional;salient;incorrect;2;408,3
happy;20;300;N;top;emotional;control;correct;12;540,1
happy;48;200;Z;right;emotional;control;correct;11;489,4
disgusting;17;300;Z;bottom;emotional;salient;correct;11;470
disgusting;18;100;N;left;emotional;salient;correct;12;545,8
disgusting;16;300;N;right;emotional;salient;correct;12;469,9
happy;43;300;N;right;emotional;control;correct;12;426,4
