stimulus;picture_number;SOA;target;target_position;set;saliency;response;resp_code;RT
happy;37;300;N;right;emotional;control;correct;12;602,6
happy;29;200;N;left;emotional;control;correct;12;437,3
happy;36;200;N;right;emotional;control;correct;12;357,4
disgusting;09;100;N;left;emotional;salient;correct;12;480,8
disgusting;11;300;N;bottom;emotional;salient;correct;12;424,3
disgusting;28;100;Z;left;emotional;salient;correct;11;577,7
disgusting;40;300;Z;top;emotional;salient;correct;11;516,2
disgusting;48;300;N;right;emotional;salient;correct;12;382,8
happy;13;300;Z;right;emotional;control;correct;11;462,8
disgusting;23;200;Z;left;emotional;salient;correct;11;510,8
disgusting;06;100;N;right;emotional;salient;incorrect;1;542,5
happy;03;300;N;top;emotional;control;correct;12;675,6
happy;22;100;Z;top;emotional;control;correct;11;541
happy;24;300;Z;left;emotional;control;correct;11;554,5
happy;42;300;N;bottom;emotional;control;correct;12;369,1
disgusting;35;200;N;left;emotional;salient;correct;12;477,6
happy;12;100;Z;left;emotional;control;correct;11;579
disgusting;07;100;N;left;emotional;salient;incorrect;1;591,2
happy;10;300;Z;bottom;emotional;control;correct;11;587,3
happy;41;200;N;top;emotional;control;correct;12;479,7
disgusting;24;300;N;left;emotional;salient;correct;12;439,7
happy;33;100;Z;right;emotional;control;correct;11;546,9
happy;27;300;N;right;emotional;control;correct;12;550,6
disgusting;21;300;Z;top;emotional;salient;correct;11;663,4
disgusting;40;200;Z;top;emotional;salient;incorrect;2;530,8
happy;40;100;Z;top;emotional;control;correct;11;624,3
disgusting;39;200;N;right;emotional;salient;correct;12;424,2
happy;38;100;N;left;emotional;control;correct;12;476
disgusting;38;200;N;top;emotional;salient;correct;12;551,8
happy;05;200;Z;left;emotional;control;correct;11;538,2
happy;19;100;Z;left;emotional;control;correct;11;520,9
disgusting;04;100;Z;left;emotional;salient;correct;11;601,7
disgusting;40;100;Z;right;emotional;salient;correct;11;630
happy;08;200;Z;right;emotional;control;correct;11;616,7
disgusting;33;300;Z;bottom;emotional;salient;correct;11;529,7
disgusting;21;200;Z;right;emotional;salient;correct;11;430,2
happy;39;100;N;top;emotional;control;correct;12;593,8
disgusting;24;100;Z;top;emotional;salient;correct;11;596,7
disgusting;15;200;N;bottom;emotional;salient;correct;12;426,6
happy;04;100;N;bottom;emotional;control;correct;12;512,6
disgusting;37;100;N;bottom;emotional;salient;correct;12;457,2
happy;02;300;Z;top;emotional;control;correct;11;487,7
happy;31;100;N;right;emotional;control;correct;12;517,8
disgusting;04;200;Z;bottom;emotional;salient;correct;11;416,7
happy;05;100;Z;right;emotional;control;correct;11;651,5
happy;28;300;Z;right;emotional;control;correct;11;564,2
happy;37;100;Z;bottom;emotional;control;correct;11;403,7
disgusting;10;300;N;bottom;emotional;salient;correct;12;471,8
disgusting;06;300;N;top;emotional;salient;correct;12;422,6
happy;06;300;N;left;emotional;control;correct;12;400,9
disgusting;36;300;Z;left;emotional;salient;correct;11;444,1
disgusting;31;300;Z;right;emotional;salient;incorrect;2;349,9
disgusting;14;100;N;top;emotional;salient;correct;12;485,6
happy;02;200;Z;top;emotional;control;correct;11;561,3
disgusting;10;100;Z;bottom;emotional;salient;correct;11;564,6
disgusting;27;200;Z;left;emotional;salient;correct;11;424,4
disgusting;22;200;N;left;emotional;salient;correct;12;520,6
happy;20;200;N;left;emotional;control;correct;12;511,9
happy;22;300;Z;top;emotional;control;correct;11;458,2
happy;14;300;N;top;emotional;control;correct;12;457,7
happy;14;100;N;left;emotional;control;correct;12;540,4
disgusting;43;200;N;right;emotional;salient;correct;12;437,2
disgusting;28;300;Z;top;emotional;salient;correct;11;499
happy;31;300;Z;right;emotional;control;incorrect;2;336
disgusting;29;200;Z;right;emotional;salient;correct;11;519,3
disgusting;10;200;N;top;emotional;salient;correct;12;513,8
happy;30;300;N;left;emotional;control;correct;12;444,7
disgusting;05;300;N;right;emotional;salient;correct;12;402,4
disgusting;26;100;Z;bottom;emotional;salient;correct;11;701,2
happy;21;200;N;bottom;emotional;control;correct;12;407,7
disgusting;23;300;Z;left;emotional;salient;correct;11;459,4
disgusting;34;200;N;left;emotional;salient;correct;12;615,4
disgusting;25;300;N;top;emotional;salient;correct;12;440,9
happy;17;200;Z;bottom;emotional;control;correct;11;493,5
happy;28;200;Z;top;emotional;control;incorrect;2;504,9
happy;39;200;Z;left;emotional;control;correct;11;530,2
disgusting;14;300;Z;right;emotional;salient;correct;11;490,8
happy;36;100;Z;left;emotional;control;correct;11;590,7
disgusting;16;200;Z;top;emotional;salient;correct;11;490,2
disgusting;08;100;N;right;emotional;salient;correct;12;575,8
disgusting;35;100;N;bottom;emotional;salient;correct;12;749
happy;18;100;Z;bottom;emotional;control;correct;11;471,3
disgusting;29;300;Z;bottom;emotional;salient;correct;11;516,7
disgusting;05;100;N;top;emotional;salient;incorrect;1;724,9
disgusting;19;300;N;bottom;emotional;salient;correct;12;698,5
happy;08;300;Z;left;emotional;control;correct;11;585,4
disgusting;02;300;N;left;emotional;salient;correct;12;488,3
happy;42;200;N;left;emotional;control;correct;12;478,1
disgusting;20;200;Z;left;emotional;salient;correct;11;600,7
happy;32;100;Z;right;emotional;control;correct;11;596
happy;13;100;Z;top;emotional;control;correct;11;473,3
disgusting;11;100;N;left;emotional;salient;correct;12;520,7
happy;20;100;N;bottom;emotional;control;correct;12;473,1
happy;26;100;N;right;emotional;control;correct;12;607,4
disgusting;31;100;Z;top;emotional;salient;correct;11;540,7
disgusting;45;100;Z;left;emotional;salient;correct;11;525,6
happy;15;300;Z;bottom;emotional;control;correct;11;498,2
happy;41;100;N;top;emotional;control;correct;12;602
disgusting;06;200;N;bottom;emotional;salient;correct;12;475,9
happy;07;300;N;bottom;emotional;control;correct;12;396,1
happy;09;200;N;bottom;emotional;control;correct;12;453
disgusting;47;100;Z;right;emotional;salient;correct;11;519,7
disgusting;08;300;N;top;emotional;salient;correct;12;442,9
happy;11;200;N;right;emotional;control;correct;12;422,3
happy;50;300;N;right;emotional;control;correct;12;433,1
disgusting;41;300;Z;top;emotional;salient;correct;11;423,3
disgusting;07;200;Z;bottom;emotional;salient;correct;11;489,1
happy;16;100;Z;top;emotional;control;correct;11;471,2
disgusting;17;200;N;right;emotional;salient;correct;12;412,5
disgusting;44;100;N;top;emotional;salient;correct;12;481,1
happy;26;300;N;left;emotional;control;correct;12;452,2
happy;43;200;Z;bottom;emotional;control;correct;11;532,6
disgusting;30;100;Z;right;emotional;salient;correct;11;527,5
happy;40;200;N;top;emotional;control;correct;12;504,5
happy;15;100;N;left;emotional;control;correct;12;535,3
happy;34;200;Z;right;emotional;control;correct;11;417,3
happy;16;300;N;right;emotional;control;correct;12;379,3
happy;03;200;N;bottom;emotional;control;incorrect;1;604,5
happy;23;200;Z;bottom;emotional;control;correct;11;503,1
disgusting;32;200;N;top;emotional;salient;correct;12;459,5
incongruent;21;100;N;top;semantic;salient;correct;12;565,8
congruent;46;200;N;right;semantic;control;correct;12;372,7
congruent;47;300;N;top;semantic;control;correct;12;372,4
incongruent;13;300;Z;left;semantic;salient;correct;11;405,3
congruent;46;300;N;bottom;semantic;control;correct;12;451,9
incongruent;47;100;Z;right;semantic;salient;correct;11;571
congruent;43;300;N;left;semantic;control;correct;12;458,8
congruent;32;200;Z;right;semantic;control;correct;11;496,6
incongruent;27;100;N;right;semantic;salient;correct;12;562,8
incongruent;18;200;Z;right;semantic;salient;incorrect;2;359,7
incongruent;09;300;Z;top;semantic;salient;correct;11;747,4
congruent;33;200;Z;top;semantic;control;correct;11;463,2
incongruent;48;100;Z;top;semantic;salient;correct;11;486,3
incongruent;11;300;N;bottom;semantic;salient;correct;12;381,4
congruent;12;300;N;right;semantic;control;correct;12;354,3
incongruent;44;300;Z;right;semantic;salient;correct;11;507,3
congruent;03;100;N;top;semantic;control;correct;12;601,9
incongruent;49;200;Z;top;semantic;salient;correct;11;493,1
incongruent;36;300;N;right;semantic;salient;correct;12;417,6
incongruent;08;300;N;left;semantic;salient;correct;12;594
incongruent;03;300;N;right;semantic;salient;correct;12;630,9
congruent;39;100;Z;bottom;semantic;control;correct;11;494,4
incongruent;06;300;N;left;semantic;salient;correct;12;497,6
incongruent;46;100;N;bottom;semantic;salient;correct;12;460,2
incongruent;04;100;N;left;semantic;salient;correct;12;647,7
incongruent;23;100;Z;top;semantic;salient;correct;11;577,2
congruent;24;300;Z;top;semantic;control;correct;11;711,7
congruent;31;300;Z;left;semantic;control;correct;11;516,4
incongruent;11;200;Z;bottom;semantic;salient;incorrect;2;402
congruent;26;300;N;bottom;semantic;control;correct;12;464,5
congruent;32;300;Z;top;semantic;control;correct;11;512,3
incongruent;46;200;N;right;semantic;salient;correct;12;428,4
congruent;37;200;N;top;semantic;control;correct;12;435,6
incongruent;13;200;N;left;semantic;salient;correct;12;482,6
incongruent;07;100;N;bottom;semantic;salient;correct;12;490,6
incongruent;22;200;N;bottom;semantic;salient;correct;12;377,3
incongruent;36;200;Z;bottom;semantic;salient;correct;11;514
incongruent;38;100;N;right;semantic;salient;correct;12;444
congruent;28;200;N;bottom;semantic;control;correct;12;441,7
congruent;24;100;N;bottom;semantic;control;correct;12;400,6
incongruent;21;300;Z;left;semantic;salient;correct;11;474,5
congruent;46;100;Z;right;semantic;control;incorrect;2;483,4
congruent;50;300;N;right;semantic;control;correct;12;368,3
congruent;19;100;Z;left;semantic;control;correct;11;560,8
congruent;02;300;N;top;semantic;control;correct;12;398,8
congruent;38;200;Z;bottom;semantic;control;correct;11;449,3
congruent;50;200;N;bottom;semantic;control;correct;12;481,6
incongruent;44;200;Z;top;semantic;salient;correct;11;543,7
incongruent;02;200;N;left;semantic;salient;correct;12;559,8
incongruent;23;300;N;top;semantic;salient;incorrect;1;477,9
congruent;01;200;Z;top;semantic;control;correct;11;604,8
congruent;10;100;N;right;semantic;control;incorrect;1;593,3
congruent;22;200;N;top;semantic;control;correct;12;493,2
incongruent;08;100;Z;bottom;semantic;salient;correct;11;498
congruent;12;100;N;left;semantic;control;correct;12;693,2
incongruent;22;100;Z;left;semantic;salient;correct;11;552,4
congruent;25;100;N;bottom;semantic;control;incorrect;1;411,2
congruent;20;200;Z;right;semantic;control;correct;11;446,4
congruent;15;200;Z;left;semantic;control;correct;11;484,3
congruent;05;100;Z;right;semantic;control;correct;11;481,1
congruent;04;100;N;right;semantic;control;correct;12;527,7
congruent;40;100;Z;bottom;semantic;control;correct;11;418,6
incongruent;40;300;Z;top;semantic;salient;incorrect;2;543,8
incongruent;02;300;Z;bottom;semantic;salient;correct;11;534,3
congruent;49;100;N;top;semantic;control;incorrect;1;630,4
incongruent;28;300;Z;right;semantic;salient;correct;11;478,3
congruent;04;300;Z;bottom;semantic;control;correct;11;620,9
congruent;10;200;N;left;semantic;control;correct;12;474,5
incongruent;47;300;N;bottom;semantic;salient;correct;12;406,2
incongruent;43;200;N;top;semantic;salient;correct;12;621,4
incongruent;16;200;N;bottom;semantic;salient;correct;12;485,7
incongruent;16;100;Z;right;semantic;salient;correct;11;438,3
congruent;30;300;N;left;semantic;control;correct;12;429,4
congruent;31;100;Z;top;semantic;control;incorrect;2;551,3
congruent;35;200;Z;bottom;semantic;control;correct;11;518,1
incongruent;11;100;N;left;semantic;salient;correct;12;477,4
incongruent;10;100;N;top;semantic;salient;correct;12;450,1
congruent;34;200;N;right;semantic;control;correct;12;374,4
congruent;41;300;Z;left;semantic;control;correct;11;476,6
congruent;11;200;N;top;semantic;control;correct;12;366,3
congruent;14;100;Z;left;semantic;control;correct;11;475,4
congruent;44;100;N;top;semantic;control;correct;12;497
congruent;29;300;Z;right;semantic;control;correct;11;559
congruent;26;100;N;right;semantic;control;correct;12;600,3
incongruent;17;200;N;right;semantic;salient;correct;12;406,4
congruent;20;300;N;top;semantic;control;correct;12;437,4
congruent;18;100;Z;right;semantic;control;correct;11;467,3
incongruent;26;300;Z;left;semantic;salient;correct;11;477,5
incongruent;12;200;Z;right;semantic;salient;correct;11;550
congruent;48;200;Z;top;semantic;control;correct;11;467,3
incongruent;13;100;N;bottom;semantic;salient;correct;12;487,8
congruent;36;100;Z;top;semantic;control;correct;11;534,8
congruent;11;300;N;left;semantic;control;correct;12;556,2
congruent;18;300;Z;top;semantic;control;correct;11;542,5
incongruent;46;300;N;right;semantic;salient;correct;12;343,8
congruent;19;200;Z;right;semantic;control;correct;11;500,5
congruent;07;300;Z;left;semantic;control;correct;11;406,4
incongruent;14;300;Z;top;semantic;salient;correct;11;514,8
congruent;42;100;Z;bottom;semantic;control;miss;;
congruent;17;200;N;left;semantic;control;correct;12;480,1
incongruent;16;300;Z;right;semantic;salient;correct;11;463,8
congruent;15;100;N;bottom;semantic;control;correct;12;619,9
incongruent;22;300;N;top;semantic;salient;correct;12;489,4
congruent;25;300;N;bottom;semantic;control;correct;12;437,8
incongruent;21;200;Z;left;semantic;salient;correct;11;642,7
congruent;39;200;N;right;semantic;control;correct;12;371,4
incongruent;26;200;Z;right;semantic;salient;correct;11;458,7
incongruent;45;200;N;right;semantic;salient;correct;12;458,8
incongruent;04;200;N;bottom;semantic;salient;correct;12;484,9
incongruent;42;300;N;bottom;semantic;salient;correct;12;423,3
incongruent;29;100;N;right;semantic;salient;correct;12;425,1
incongruent;42;200;Z;bottom;semantic;salient;correct;11;550,3
congruent;31;200;Z;left;semantic;control;correct;11;438,4
incongruent;39;300;N;left;semantic;salient;correct;12;452,2
incongruent;17;100;Z;top;semantic;salient;correct;11;613,9
incongruent;05;100;N;top;semantic;salient;correct;12;647,3
incongruent;39;200;N;left;semantic;salient;correct;12;444,2
congruent;06;300;Z;right;semantic;control;correct;11;483,2
incongruent;25;100;Z;bottom;semantic;salient;correct;11;583,9
incongruent;37;200;Z;top;semantic;salient;correct;11;498,4
incongruent;18;300;Z;bottom;semantic;salient;correct;11;466,3
congruent;14;200;N;bottom;semantic;control;correct;12;513,7
congruent;16;100;Z;left;semantic;control;correct;11;581,6
congruent;08;100;N;left;semantic;control;correct;12;543,5
incongruent;49;100;Z;right;semantic;salient;correct;11;611,5
incongruent;28;100;N;left;semantic;salient;correct;12;480,1
incongruent;15;200;N;top;semantic;salient;correct;12;507,8
congruent;08;300;Z;bottom;semantic;control;correct;11;547,6
incongruent;20;300;Z;left;semantic;salient;correct;11;443,7
congruent;05;200;Z;bottom;semantic;control;correct;11;473,3
congruent;06;200;N;right;semantic;control;correct;12;417,4
incongruent;33;100;Z;left;semantic;salient;correct;11;484,7
incongruent;03;200;Z;left;semantic;salient;correct;11;401,2
incongruent;45;300;Z;top;semantic;salient;correct;11;522,5
congruent;14;300;N;right;semantic;control;correct;12;373,4
incongruent;26;100;Z;top;semantic;salient;miss;;
congruent;06;100;N;bottom;semantic;control;correct;12;558,3
congruent;34;300;N;bottom;semantic;control;incorrect;1;456,3
congruent;19;300;Z;bottom;semantic;control;correct;11;470,1
congruent;35;100;N;top;semantic;control;correct;12;498,7
congruent;44;200;N;top;semantic;control;correct;12;450,6
congruent;40;200;Z;left;semantic;control;correct;11;482,4
incongruent;04;300;N;top;semantic;salient;correct;12;361,7
incongruent;01;100;N;right;semantic;salient;correct;12;594,5
incongruent;35;100;N;bottom;semantic;salient;correct;12;478,6
incongruent;05;200;N;right;semantic;salient;correct;12;363,5
incongruent;40;200;N;left;semantic;salient;correct;12;521,4
congruent;17;300;N;right;semantic;control;correct;12;456,2
incongruent;35;200;N;bottom;semantic;salient;correct;12;694,1
congruent;11;100;Z;left;semantic;control;correct;11;592,6
happy;24;300;N;top;emotional;control;correct;12;495,2
disgusting;10;100;N;right;emotional;salient;correct;12;379,5
happy;37;100;Z;bottom;emotional;control;correct;11;521,9
disgusting;45;100;N;left;emotional;salient;correct;12;585,9
disgusting;13;300;Z;bottom;emotional;salient;correct;11;527,9
disgusting;03;200;Z;right;emotional;salient;incorrect;2;380,4
disgusting;28;200;N;left;emotional;salient;correct;12;517,9
happy;14;100;Z;left;emotional;control;correct;11;697,8
disgusting;47;200;Z;left;emotional;salient;correct;11;701,5
disgusting;18;100;Z;top;emotional;salient;correct;11;533,9
happy;19;200;N;left;emotional;control;correct;12;511,8
happy;28;200;Z;top;emotional;control;correct;11;601,9
happy;37;300;Z;right;emotional;control;correct;11;444,9
disgusting;27;200;Z;bottom;emotional;salient;correct;11;484,6
disgusting;02;100;Z;left;emotional;salient;correct;11;491,2
happy;06;100;N;top;emotional;control;correct;12;620,9
disgusting;12;100;N;bottom;emotional;salient;correct;12;611,2
disgusting;35;100;Z;bottom;emotional;salient;correct;11;550,9
disgusting;17;200;N;bottom;emotional;salient;correct;12;480,4
disgusting;27;100;Z;right;emotional;salient;correct;11;432,1
disgusting;15;300;Z;left;emotional;salient;correct;11;555,2
disgusting;31;300;N;right;emotional;salient;correct;12;445,5
happy;32;100;Z;right;emotional;control;correct;11;673,7
happy;47;100;N;bottom;emotional;control;correct;12;482,1
happy;39;200;N;top;emotional;control;incorrect;1;491,3
happy;32;200;Z;right;emotional;control;correct;11;461,1
disgusting;30;100;N;left;emotional;salient;miss;;
happy;30;200;N;right;emotional;control;correct;12;565,2
disgusting;34;200;Z;top;emotional;salient;correct;11;446,5
happy;27;200;Z;left;emotional;control;correct;11;467,5
disgusting;08;200;N;right;emotional;salient;correct;12;413,4
disgusting;40;100;N;right;emotional;salient;correct;12;458,7
happy;04;100;N;right;emotional;control;correct;12;512,7
disgusting;19;100;N;bottom;emotional;salient;correct;12;499,7
disgusting;29;100;Z;bottom;emotional;salient;incorrect;2;378,7
happy;35;100;Z;top;emotional;control;correct;11;474,2
happy;27;100;Z;right;emotional;control;correct;11;512
happy;20;300;Z;bottom;emotional;control;correct;11;716,3
disgusting;41;300;N;left;emotional;salient;correct;12;501,3
disgusting;05;300;Z;right;emotional;salient;correct;11;527,6
happy;26;200;N;right;emotional;control;correct;12;556,6
happy;29;100;Z;bottom;emotional;control;correct;11;528,6
happy;02;100;N;right;emotional;control;correct;12;516,2
happy;33;100;N;bottom;emotional;control;correct;12;538,6
disgusting;20;300;N;bottom;emotional;salient;correct;12;418,8
happy;47;200;N;bottom;emotional;control;correct;12;378,1
disgusting;44;300;Z;left;emotional;salient;correct;11;507,4
happy;45;200;N;top;emotional;control;correct;12;534,5
happy;50;300;Z;left;emotional;control;correct;11;475,8
disgusting;17;300;N;top;emotional;salient;correct;12;474,9
happy;14;300;N;bottom;emotional;control;correct;12;416,1
disgusting;26;300;Z;top;emotional;salient;correct;11;864,3
disgusting;46;300;N;right;emotional;salient;correct;12;378,2
happy;38;100;N;top;emotional;control;correct;12;592,3
happy;32;300;Z;top;emotional;control;correct;11;532,6
happy;31;300;Z;left;emotional;control;correct;11;452,4
happy;35;200;N;left;emotional;control;incorrect;1;470,3
happy;48;100;Z;left;emotional;control;correct;11;518,5
disgusting;06;200;N;bottom;emotional;salient;correct;12;406,3
disgusting;30;300;N;bottom;emotional;salient;incorrect;1;380,1
happy;19;100;N;left;emotional;control;correct;12;692,6
disgusting;09;100;Z;top;emotional;salient;correct;11;628,1
disgusting;48;100;Z;left;emotional;salient;correct;11;453,2
disgusting;48;200;Z;top;emotional;salient;correct;11;690,8
happy;22;100;Z;bottom;emotional;control;correct;11;514
disgusting;20;100;N;top;emotional;salient;miss;;
disgusting;38;200;N;left;emotional;salient;correct;12;664
happy;05;300;Z;top;emotional;control;correct;11;398
happy;36;200;Z;left;emotional;control;correct;11;387,3
happy;21;100;Z;top;emotional;control;correct;11;392
happy;38;200;Z;top;emotional;control;correct;11;456,3
disgusting;16;200;Z;bottom;emotional;salient;correct;11;422,7
disgusting;22;300;Z;bottom;emotional;salient;correct;11;431,9
disgusting;49;100;N;right;emotional;salient;correct;12;588,2
happy;01;200;Z;right;emotional;control;incorrect;2;416,7
happy;07;200;Z;bottom;emotional;control;correct;11;438,5
disgusting;07;300;N;left;emotional;salient;correct;12;486,4
happy;06;300;Z;right;emotional;control;incorrect;2;487,9
happy;25;100;Z;right;emotional;control;correct;11;538,3
disgusting;42;100;Z;top;emotional;salient;incorrect;2;602,1
happy;09;100;Z;left;emotional;control;correct;11;537,6
happy;36;300;N;right;emotional;control;correct;12;566,4
disgusting;39;200;Z;right;emotional;salient;correct;11;578
happy;03;100;N;right;emotional;control;incorrect;1;740,3
disgusting;35;200;Z;left;emotional;salient;correct;11;507,2
disgusting;09;200;N;top;emotional;salient;correct;12;519,1
disgusting;41;100;Z;right;emotional;salient;correct;11;566,1
happy;17;100;N;top;emotional;control;correct;12;585,9
happy;01;300;N;left;emotional;control;correct;12;499,1
happy;04;200;N;right;emotional;control;correct;12;435,5
disgusting;03;100;Z;bottom;emotional;salient;correct;11;505,5
happy;26;300;N;top;emotional;control;correct;12;463,9
happy;38;300;N;bottom;emotional;control;correct;12;518,3
happy;43;100;N;bottom;emotional;control;correct;12;462,3
happy;16;200;Z;right;emotional;control;correct;11;557,1
disgusting;43;200;Z;bottom;emotional;salient;incorrect;2;555,2
happy;08;200;N;left;emotional;control;correct;12;576
happy;23;100;N;left;emotional;control;incorrect;1;573,2
disgusting;30;200;Z;right;emotional;salient;correct;11;454,9
happy;41;300;Z;bottom;emotional;control;correct;11;402,2
disgusting;40;200;N;bottom;emotional;salient;correct;12;521,5
happy;22;300;N;top;emotional;control;correct;12;565,4
disgusting;14;100;N;top;emotional;salient;correct;12;580
disgusting;12;300;Z;right;emotional;salient;correct;11;433,7
happy;10;200;N;top;emotional;control;correct;12;525,1
disgusting;45;200;N;right;emotional;salient;correct;12;513,3
happy;49;200;Z;bottom;emotional;control;correct;11;565,7
disgusting;14;200;Z;top;emotional;salient;correct;11;531,9
happy;09;300;Z;bottom;emotional;control;correct;11;404,1
disgusting;11;300;N;left;emotional;salient;correct;12;627,5
happy;10;100;Z;bottom;emotional;control;correct;11;577,7
disgusting;25;300;Z;top;emotional;salient;correct;11;561,4
disgusting;33;300;N;bottom;emotional;salient;correct;12;409,9
disgusting;50;100;Z;left;emotional;salient;incorrect;2;597,1
happy;42;200;Z;left;emotional;control;incorrect;2;423
disgusting;49;200;Z;left;emotional;salient;correct;11;428
disgusting;39;100;N;bottom;emotional;salient;correct;12;481,3
happy;04;300;Z;top;emotional;control;correct;11;437,9
happy;39;300;N;bottom;emotional;control;correct;12;613
disgusting;31;200;N;top;emotional;salient;correct;12;593,2
happy;44;100;N;top;emotional;control;correct;12;479,7
disgusting;29;300;N;top;emotional;salient;correct;12;457,6
disgusting;18;200;N;left;emotional;salient;correct;12;477,4
disgusting;19;300;Z;right;emotional;salient;correct;11;474,5
disgusting;24;300;Z;bottom;emotional;salient;correct;11;558,9
happy;18;300;Z;left;emotional;control;correct;11;442,4
happy;02;300;Z;right;emotional;control;correct;11;467,3
disgusting;32;100;N;left;emotional;salient;correct;12;570,6
happy;12;200;Z;top;emotional;control;correct;11;811,4
disgusting;05;200;N;top;emotional;salient;correct;12;477,3
disgusting;06;300;N;right;emotional;salient;correct;12;344,9
disgusting;01;200;N;right;emotional;salient;correct;12;518,3
disgusting;38;100;N;left;emotional;salient;correct;12;658,1
disgusting;34;300;Z;left;emotional;salient;correct;11;458,1
happy;40;200;N;bottom;emotional;control;correct;12;489
happy;45;300;N;left;emotional;control;correct;12;415,1
happy;43;300;N;right;emotional;control;correct;12;389,6
happy;24;200;N;right;emotional;control;correct;12;358,7
disgusting;11;100;Z;bottom;emotional;salient;correct;11;478,9
disgusting;36;300;Z;left;emotional;salient;incorrect;2;474,5
happy;28;300;Z;top;emotional;control;incorrect;2;383,8
happy;03;200;Z;top;emotional;control;correct;11;491,1
disgusting;03;300;N;top;emotional;salient;correct;12;466,4
disgusting;49;300;Z;right;emotional;salient;correct;11;417,7
happy;16;300;Z;left;emotional;control;correct;11;489,3
happy;29;300;N;top;emotional;control;correct;12;359
happy;42;100;Z;left;emotional;control;correct;11;463,1
happy;22;200;N;left;emotional;control;correct;12;531,3
disgusting;12;200;Z;left;emotional;salient;correct;11;420,7
disgusting;21;100;N;bottom;emotional;salient;correct;12;396,8
congruent;30;100;Z;bottom;semantic;control;correct;11;533,6
congruent;10;300;N;top;semantic;control;correct;12;432,9
congruent;23;100;N;right;semantic;control;correct;12;579
incongruent;41;200;N;top;semantic;salient;correct;12;471
congruent;27;300;Z;top;semantic;control;correct;11;393,4
incongruent;49;300;Z;bottom;semantic;salient;correct;11;407
incongruent;34;100;N;left;semantic;salient;correct;12;608,3
congruent;09;300;N;left;semantic;control;correct;12;492,8
incongruent;12;100;Z;right;semantic;salient;correct;11;539,3
congruent;01;100;N;left;semantic;control;correct;12;600,8
congruent;18;200;Z;right;semantic;control;incorrect;2;406
incongruent;24;300;N;bottom;semantic;salient;incorrect;1;561,1
incongruent;32;300;N;left;semantic;salient;correct;12;605,9
congruent;49;300;Z;right;semantic;control;incorrect;2;370
congruent;33;300;Z;left;semantic;control;correct;11;581,5
congruent;50;100;Z;right;semantic;control;correct;11;550,3
incongruent;30;200;Z;left;semantic;salient;correct;11;428,1
congruent;13;200;Z;top;semantic;control;correct;11;540,8
incongruent;01;200;Z;top;semantic;salient;correct;11;519,5
incongruent;28;200;Z;bottom;semantic;salient;correct;11;434,6
incongruent;38;200;Z;right;semantic;salient;correct;11;540,2
incongruent;09;100;N;top;semantic;salient;correct;12;686,4
incongruent;32;200;N;bottom;semantic;salient;correct;12;773,3
incongruent;23;200;Z;bottom;semantic;salient;correct;11;519,3
incongruent;34;200;N;left;semantic;salient;correct;12;732,7
congruent;28;300;Z;left;semantic;control;correct;11;464,8
incongruent;24;200;Z;right;semantic;salient;correct;11;389,1
congruent;23;300;Z;top;semantic;control;incorrect;2;440,1
incongruent;29;300;Z;right;semantic;salient;correct;11;489,5
incongruent;50;300;N;right;semantic;salient;incorrect;1;515,1
congruent;15;300;Z;bottom;semantic;control;incorrect;2;590,6
congruent;27;200;N;left;semantic;control;correct;12;552,5
incongruent;33;200;Z;left;semantic;salient;correct;11;549,3
incongruent;01;300;N;top;semantic;salient;correct;12;503
congruent;26;200;N;bottom;semantic;control;incorrect;1;806,6
incongruent;31;300;N;bottom;semantic;salient;correct;12;490,5
incongruent;37;300;N;left;semantic;salient;correct;12;532,1
incongruent;10;300;N;right;semantic;salient;correct;12;441,2
incongruent;32;100;Z;left;semantic;salient;correct;11;556,4
congruent;01;300;Z;right;semantic;control;correct;11;450,7
congruent;42;300;N;bottom;semantic;control;correct;12;504,6
incongruent;30;300;Z;right;semantic;salient;correct;11;533,9
congruent;30;200;Z;bottom;semantic;control;correct;11;446,9
congruent;40;300;N;right;semantic;control;correct;12;478,2
congruent;47;200;Z;top;semantic;control;correct;11;433,9
congruent;29;200;N;right;semantic;control;correct;12;548,8
congruent;07;200;N;left;semantic;control;incorrect;1;563
incongruent;45;100;Z;bottom;semantic;salient;correct;11;565,5
incongruent;07;200;N;top;semantic;salient;correct;12;490
congruent;48;300;N;left;semantic;control;incorrect;1;682,2
incongruent;07;300;Z;bottom;semantic;salient;correct;11;516,6
incongruent;31;100;Z;top;semantic;salient;incorrect;2;628,3
congruent;36;300;N;top;semantic;control;incorrect;1;548,7
congruent;33;100;Z;top;semantic;control;correct;11;464
incongruent;02;100;Z;right;semantic;salient;correct;11;645,6
congruent;37;100;Z;bottom;semantic;control;correct;11;483,1
incongruent;38;300;Z;left;semantic;salient;correct;11;478,9
incongruent;20;100;N;right;semantic;salient;correct;12;514,9
incongruent;40;100;N;top;semantic;salient;correct;12;554,6
incongruent;19;100;Z;bottom;semantic;salient;correct;11;469,7
incongruent;50;100;N;bottom;semantic;salient;correct;12;494,5
congruent;27;100;Z;top;semantic;control;correct;11;476,8
congruent;32;100;Z;right;semantic;control;correct;11;590,9
congruent;42;200;N;top;semantic;control;correct;12;475,2
congruent;21;300;Z;top;semantic;control;correct;11;472,7
congruent;17;100;N;top;semantic;control;correct;12;653,2
